rank_diff,home_form_win_rate,away_form_win_rate,home_form_goal_rate,away_form_goal_rate,home_form_concede,away_form_concede,h2h_home_win_rate,tournament_weight,is_neutral,home_team,away_team,date,home_score,away_score,outcome
-2,0.5,0.5,1.2,1.2,1.0,1.0,0.4444444444444444,0.6,0,Senegal,Mexico,2010-01-04,0,0,1
-20,0.5,0.5,1.2,1.2,1.0,1.0,0.3333333333333333,0.85,0,South Korea,England,2010-01-07,2,0,0
-15,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.85,0,Senegal,England,2010-01-10,3,0,0
1,0.5,0.5,1.2,1.2,1.0,1.0,0.5555555555555556,0.3,0,Morocco,Switzerland,2010-01-26,0,3,2
20,0.5,0.5,1.2,1.2,1.0,1.0,0.36363636363636365,0.85,1,France,Japan,2010-02-02,1,1,1
-4,0.5,0.0,1.2,0.0,1.0,2.5,0.0,1.0,1,Belgium,England,2010-02-07,0,2,2
7,0.5,0.0,1.2,0.0,1.0,0.0,0.5333333333333333,0.6,1,Uruguay,Mexico,2010-02-16,3,0,0
-6,0.0,0.5,0.0,1.2,3.0,1.0,0.2727272727272727,0.6,0,Morocco,Spain,2010-02-19,2,0,0
7,0.5,0.5,1.2,1.5,1.0,0.0,0.375,0.3,0,Denmark,Senegal,2010-02-25,1,1,1
8,1.0,0.0,3.0,1.0,0.0,1.0,0.5384615384615384,0.85,1,Switzerland,Japan,2010-02-28,1,0,0
-11,0.0,0.0,1.0,1.0,1.0,1.0,0.06666666666666667,0.3,1,Denmark,France,2010-02-28,1,2,2
-2,1.0,0.5,2.0,1.2,0.0,1.0,0.21428571428571427,0.3,1,Switzerland,Croatia,2010-03-01,2,0,0
-19,1.0,0.5,2.0,1.2,0.0,1.0,0.0,0.85,0,South Korea,Portugal,2010-03-07,1,1,1
-4,0.0,0.5,0.0,1.2,2.0,1.0,0.21428571428571427,0.3,0,Spain,Argentina,2010-03-08,0,2,2
11,0.5,0.0,1.5,1.0,1.0,1.5,0.5333333333333333,0.3,0,France,Denmark,2010-03-18,1,1,1
-2,1.0,0.0,2.0,0.0,0.0,2.0,0.21428571428571427,0.3,0,Switzerland,Croatia,2010-03-19,1,1,1
14,0.0,0.5,0.0,1.2,2.0,1.0,0.7647058823529411,0.6,0,Spain,USA,2010-03-21,1,0,0
8,0.0,0.75,1.0,1.75,1.0,0.25,0.25,0.6,1,Portugal,Switzerland,2010-03-22,2,2,1
-5,0.6,0.0,1.8,0.0,0.6,2.0,0.2222222222222222,1.0,1,Switzerland,Belgium,2010-03-23,0,0,1
9,0.5,0.0,1.2,1.0,1.0,1.3333333333333333,0.42857142857142855,0.3,0,Germany,Denmark,2010-03-27,1,1,1
-12,0.3333333333333333,0.5,1.3333333333333333,1.2,0.3333333333333333,1.0,0.0,0.3,0,Senegal,Netherlands,2010-03-30,0,1,2
9,0.0,0.0,0.5,0.0,1.5,1.0,0.2857142857142857,0.3,0,Croatia,USA,2010-04-02,1,0,0
-5,0.4,0.0,1.2,0.0,0.6,1.0,0.2222222222222222,0.6,0,Switzerland,Belgium,2010-04-02,0,1,2
12,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,1.0,0.5,0.8,1,Belgium,USA,2010-04-03,3,0,0
2,0.25,0.0,1.0,0.5,0.5,1.0,0.2727272727272727,0.85,0,Senegal,Japan,2010-04-03,1,1,1
1,0.3333333333333333,0.0,0.6666666666666666,1.5,1.6666666666666667,1.5,0.5454545454545454,0.3,0,England,Portugal,2010-04-05,4,0,0
-1,0.5,0.0,1.5,1.0,1.25,1.0,0.3076923076923077,0.6,0,England,Germany,2010-04-08,1,1,1
5,0.2,0.5,1.0,1.5,0.6,0.5,0.2727272727272727,1.0,1,Senegal,South Korea,2010-04-11,2,1,0
9,0.5,0.0,1.0,0.0,0.5,1.5,0.5,0.3,0,Belgium,Mexico,2010-04-11,0,1,2
5,0.0,0.4,1.0,0.8,1.0,0.6,0.5,1.0,1,Germany,Belgium,2010-04-12,1,1,1
-1,0.2,0.0,1.0,1.0,0.8,1.25,0.2727272727272727,0.85,1,Switzerland,Denmark,2010-04-13,0,0,1
-2,1.0,0.4,3.0,1.0,0.0,0.4,0.2,0.3,1,Uruguay,Belgium,2010-04-14,0,2,2
-7,0.0,0.0,0.0,0.6,1.6666666666666667,0.8,0.42857142857142855,0.8,0,USA,Switzerland,2010-04-17,1,2,2
